AreaCode,AreaName,year,Timeperiod,tests.male.15-19,tests.male.20-24,tests.male.total,tests.female.15-19,tests.female.20-24,tests.female.total,tests.total.15-19,tests.total.20-24,tests.total,positives.male.15-19,positives.male.20-24,positives.male.total,positives.female.15-19,positives.female.20-24,positives.female.total,positives.total.15-19,positives.total.20-24,positives.total,population.male.15-19,population.male.20-24,population.female.15-19,population.female.20-24,population.total
E12000001,North East,2013,2012/13,19592,19155,38747,34612,35372,69984,54334,54584,108918,1299,2128,3427,2964,2528,5492,4267,4663,8930,83882,95693,79504,91845,350924
E12000003,Yorkshire and Humber,2013,2012/13,20257,30808,51065,54178,73300,127478,74626,104239,178865,1986,3652,5638,5244,4973,10217,7244,8637,15881,173930,198525,166888,192730,732073
E12000002,North West,2013,2012/13,27668,45279,72947,72440,94754,167194,101001,140916,241917,2188,4979,7167,6497,7075,13572,8757,12129,20886,227802,249816,217320,246943,941881
E12000009,South West,2013,2012/13,,,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,2013,2012/13,,,,,,,,,,,,,,,,,,,,,,,
E12000007,London,2012,2011/12,36387,67787,104174,68599,133664,202263,106382,203390,309772,2561,5912,8473,6556,8353,14909,9283,14418,23701,238056,300060,226609,309985,1074710
E12000005,West Midlands,2012,2011/12,26947,33809,60756,55038,65948,120986,82442,100227,182669,1617,3242,4859,4550,4639,9189,6188,7919,14107,186251,198640,177310,190276,752477
E12000004,East Midlands,2012,2011/12,,,,,,,,,,,,,,,,,,,,,,,
E12000006,East of England,2012,2011/12,,,,,,,,,,,,,,,,,,,,,,,
E12000001,North East,2012,2011/12,23503,22267,45770,39320,39291,78611,63227,61974,125201,1245,2309,3554,3079,2535,5614,4354,4886,9240,83882,95693,79504,91845,350924
E12000003,Yorkshire and Humber,2012,2011/12,18986,28701,47687,52733,68572,121305,71959,97499,169458,1719,3459,5178,4734,4675,9409,6473,8153,14626,173930,198525,166888,192730,732073
E12000002,North West,2012,2011/12,32955,47285,80240,80462,96724,177186,114671,145136,259807,2399,5200,7599,6949,7137,14086,9431,12435,21866,227802,249816,217320,246943,941881
E12000009,South West,2012,2011/12,,,,,,,,,,,,,,,,,,,,,,,
E12000008,South East,2012,2011/12,,,,,,,,,,,,,,,,,,,,,,,
